"filename", "language", "HTML", "JavaScript", "JSON", "Markdown", "XML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Thunder Flash\Desktop\DualRepo\README.md", "Markdown", 0, 0, 0, 83, 0, 0, 0, 0, 22, 105
"c:\Users\Thunder Flash\Desktop\DualRepo\client\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Thunder Flash\Desktop\DualRepo\client\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Thunder Flash\Desktop\DualRepo\client\package-lock.json", "JSON", 0, 0, 5636, 0, 0, 0, 0, 0, 1, 5637
"c:\Users\Thunder Flash\Desktop\DualRepo\client\package.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\Thunder Flash\Desktop\DualRepo\client\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 11, 4, 2, 17
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 1, 4, 77
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\Hooks\UseAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 9, 6, 25
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\api\api.js", "JavaScript", 0, 217, 0, 0, 0, 0, 0, 21, 36, 274
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\asset.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 3, 122
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\activeCoupons.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\couponDiscount.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\couponUsage.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\coupons.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\cross.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\Thunder Flash\Desktop\DualRepo\client\src\assets\img\Dashboard\deleteIcon.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
